es_hombre,es_adulto_mayor,tiene_pareja,tiene_dependientes,meses_contrato,tiene_telefono,tiene_varias_lineas,tipo_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_tecnico,tiene_tv,tiene_peliculas,tipo_contrato,factura_online,metodo_pago,cargo_mensual,cargo_total,id_cliente,abandono,cuentas_diarias
0,0,1,1,9,1,0,DSL,0,1,0,1,1,0,Anual_1,1,Cheque,65.6,593.3,0002-ORFBO,0,2.19
1,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Mensual,0,Cheque,59.9,542.4,0003-MKNFE,0,2.0
1,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Mensual,1,Cheque_electrónico,73.9,280.85,0004-TLHLJ,1,2.46
1,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Mensual,1,Cheque_electrónico,98.0,1237.85,0011-IGKFF,1,3.27
0,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Mensual,1,Cheque,83.9,267.4,0013-EXCHZ,1,2.8
0,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Mensual,1,Tarjeta,69.4,571.45,0013-MHZWF,0,2.31
0,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Anual_2,1,Transferencia,109.7,7904.25,0013-SMEOE,0,3.66
1,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Anual_2,1,Tarjeta,84.65,5377.8,0014-BMAQU,0,2.82
0,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque_electrónico,48.2,340.35,0015-UOCOJ,0,1.61
0,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Anual_2,1,Cheque,90.45,5957.9,0016-QLJIS,0,3.02
1,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Anual_2,0,Tarjeta,45.2,2460.55,0017-DINOC,0,1.51
0,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Anual_2,1,Tarjeta,116.8,8456.75,0017-IUDMW,0,3.89
0,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,68.95,351.5,0018-NYROU,0,2.3
0,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Anual_2,1,Transferencia,101.3,7261.25,0019-EFAEP,0,3.38
0,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Anual_2,0,Transferencia,45.05,2560.1,0019-GFNTW,0,1.5
0,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Anual_2,1,Tarjeta,95.75,6849.4,0020-INWCK,0,3.19
0,0,1,1,34,0,0,DSL,1,0,1,1,1,1,Anual_1,0,Cheque,61.25,1993.2,0020-JDNXP,0,2.04
0,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,72.1,72.1,0021-IKXGC,0,2.4
1,1,0,0,45,1,0,DSL,1,0,1,0,0,1,Anual_1,0,Tarjeta,62.7,2791.5,0022-TCJCI,1,2.09
1,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,25.1,25.1,0023-HGHWL,1,0.84
0,1,1,0,50,1,1,No,0,0,0,0,0,0,Anual_1,0,Cheque_electrónico,25.2,1306.3,0023-UYUPN,0,0.84
0,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Mensual,0,Cheque_electrónico,94.1,1215.6,0023-XUOPT,1,3.14
0,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Mensual,1,Cheque_electrónico,83.75,1849.95,0027-KWYKW,0,2.79
0,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque,19.85,57.2,0030-FNXPP,0,0.66
0,0,1,1,4,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque,20.35,76.35,0031-PVLZI,1,0.68
0,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Mensual,0,Transferencia,30.5,30.5,0032-PGELS,1,1.02
0,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,Anual_1,1,Transferencia,103.7,5656.75,0036-IHMOT,0,3.46
1,0,1,1,54,1,0,No,0,0,0,0,0,0,Anual_2,0,Tarjeta,20.4,1090.6,0040-HALCW,0,0.68
1,0,0,0,26,1,0,No,0,0,0,0,0,0,Anual_1,1,Transferencia,19.6,471.85,0042-JVWOJ,0,0.65
0,0,1,1,69,1,0,No,0,0,0,0,0,0,Anual_2,0,Transferencia,19.7,1396.9,0042-RLHYP,0,0.66
1,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,Anual_1,0,Tarjeta,91.2,3247.55,0048-LUMLS,0,3.04
0,0,1,0,49,1,0,No,0,0,0,0,0,0,Anual_1,0,Transferencia,20.45,900.9,0048-PIHNL,0,0.68
1,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,Anual_1,0,Transferencia,115.8,7942.15,0052-DCKON,0,3.86
0,0,0,0,67,1,0,No,0,0,0,0,0,0,Anual_1,0,Cheque_electrónico,20.55,1343.4,0052-YNYOT,0,0.68
1,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Anual_2,1,Tarjeta,39.4,825.4,0056-EPFBG,0,1.31
0,0,0,1,43,1,1,No,0,0,0,0,0,0,Anual_2,1,Cheque_electrónico,25.1,1070.15,0057-QBUQH,0,0.84
0,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Mensual,1,Transferencia,89.8,4959.6,0058-EVZWM,0,2.99
0,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Mensual,1,Cheque_electrónico,94.75,5597.65,0060-FUALY,0,3.16
0,0,1,1,12,1,0,No,0,0,0,0,0,0,Anual_2,0,Transferencia,20.3,224.5,0064-SUDOG,0,0.68
1,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Transferencia,75.75,1929.0,0064-YIJGF,0,2.52
1,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque_electrónico,49.25,91.1,0067-DKWBL,1,1.64
0,0,0,0,27,1,0,DSL,0,1,1,1,1,1,Anual_1,0,Cheque,78.2,2078.95,0068-FIGTF,0,2.61
1,0,1,1,25,1,1,No,0,0,0,0,0,0,Anual_2,0,Tarjeta,25.5,630.6,0071-NDAFP,0,0.85
1,0,1,1,25,1,0,DSL,1,1,1,0,0,0,Anual_1,1,Transferencia,61.6,1611.0,0074-HDKDG,0,2.05
1,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Mensual,1,Cheque,45.0,1242.45,0076-LVEPS,0,1.5
1,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Anual_2,1,Transferencia,85.15,6316.2,0078-XZMHT,0,2.84
0,0,0,0,14,1,0,DSL,0,1,0,0,0,0,Anual_1,0,Tarjeta,51.45,727.85,0080-EMYVY,0,1.72
0,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,Anual_1,1,Cheque_electrónico,99.25,3532.0,0080-OROZO,0,3.31
1,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque,44.3,44.3,0082-LDZUE,0,1.48
1,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Mensual,1,Cheque_electrónico,94.2,2607.6,0082-OQIQY,0,3.14
1,0,0,0,64,1,1,DSL,1,1,1,1,1,0,Anual_1,0,Cheque_electrónico,81.25,5567.55,0083-PIVIK,0,2.71
0,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Mensual,1,Tarjeta,99.95,3767.4,0089-IIQKO,0,3.33
0,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Mensual,1,Cheque_electrónico,91.55,3673.6,0093-EXYQL,0,3.05
1,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Mensual,1,Tarjeta,104.5,4036.85,0093-XWZFY,1,3.48
0,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Mensual,1,Cheque_electrónico,95.0,1120.3,0094-OIFMO,1,3.17
